Column1,content,Judge_1,Judge_2,Judge_3
2570,"This finale is a bit disappointing because of it's format and the limitations of its length.  Lot's of places where the reader, or at least I thought "" no one would ever do/think/act like that...but because I was fond of the characters, I enjoyed this and didn't find it a waste of time.  Overall a a good experience.  As I was reading this, I kept imagining how it would be staged - and I suspect it would be great fun.  Will look forward to this coming to a ""theater near me.""",1,1,1
4606,They stayed true to the original characters. As long as you can get around the stage directions and scenery the story makes for a quick read. So glad I didn't shell out more money for a hard copy though.,1,1,1
423,"Have not read the previous novels so may just be I don't follow the stage play format very well. Having seen all the films the hardest part was connecting the written ""voice"" of unfamiliar characters Albus and Scorpius, and visualizing the new relationships between them and the now ""grown up"" Harry-married-to-Ginny, and his old chums, the now-married-Ron-and-Hermione. Also, the physical layout of the text often left me wondering - mid speech - which character was speaking.  I even tried visualizing the action occurring on a stage, with associated limitations, but even then, finding a compelling story line was not possible. I'll of course be very interested to eventually see the produced stage version.",0,0,0
196,"I got this thinking something else.  I read maybe 20 pages and deleted it from my kindle library.  I hate play style.  I bought the bundle didn't really read up on it should have.  Such a let down.  its been a while since last book, you mean to tell me she couldn't actually write a book?  If I want a play ill see it in England.  I don't need to even waste my time or money reading one.  Just write a new story, this was just a lazy attempt I wish I hadn't of wasted 14.99 on",0,0,0
194,"My daughter was so excited to get this book, she read it all in one day!",1,1,1
3442,"I have not started reDINF THIS BOOK, i had eye surgery
 s when I am able yo read again I WILL RATE  THEN",1,1,1
1045,Probably will not buy part 2,0,0,0
932,"This was an excellent script book and it's excellent to read and learn about Harry Potter's son especially after the seventh book which was ""Harry Potter And The Deathly Hallows"", it was mentioned that Harry Potter's son was getting on the train to attend Hogwarts School and I'm glad to know what all happened for Harry's son at Hogwarts School.  I wonder if this ""Harry Potter And The Cursed Child"" book is going to be a storybook too like the past seven books.  J.K. Rowling is an excellent author and I saw at the end of the ""Harry Potter And The Cursed Child"" book (anyone who didn't see this at the end of the book) that she will be doing a screen writing debut and is the producer of the show ""Fantastic Beasts And Where To Find Them"" which I learned over the internet that it's a prequel to Harry Potter.  We will have to wait until November 2016 for it to be released.",1,1,1
1147,A1,1,1,1
2667,"I wanted to love this, I really did. I'm as starved for new Harry Potter content as any other fan, but this book is sadly disappointing. I think the thing that disappoints me most is the lack of continuity among characters from the original series. None of the original characters keep their personalities or traits in this book. They just don't have the same feel. Hermoine talks to Ron like a child, Ginny and Harry are nothing similar to who they were in the original series. The characters I loved in the HP series are gone, replaced by some loosely related, poorly written shadows, really only the same in name.  I've read other reviews that say this book is like poorly written fan fiction, and I must say I agree. There is nothing connecting this book the the original series. The story is convoluted, the plot is disorganised and at times pointless. There is no trace of the magic and passion with which JK Rowling wrote the HP series. It's a scattered,  pointless mess. It takes away all of the feelings left at the end of HP, when you're left staring into a future unmarred by Voldemort, wondering or hoping or writing a continuation of your own,  and replaces it with a story unfitting to the original series. And unfortunately, it vastly fails to match the feeling, magic, or effort given to thr HP series. What a shame.",0,0,0
1286,"Loved the revisiting of favorite characters and the introduction of new ones. Love the connection with parenting and characterization-Bravo! Thank you, Rowling!",1,1,1
636,I miss HP. I had to see the 4th movie again after reading this one. Please- more magic!,0,1,0
4270,This is an easy and fast read and very interesting book and how the outcome came out.,1,1,1
2865,I couldn't even finish the book. Did not like the way it was written.,0,0,0
4829,"Great teaser. Can't wait to read subsequent books as they are published, preferably as books and not screen plays. Hope it will become a movie.",1,1,1
2934,I love Harry potter series. But this one is really dissappointing. Just a week after I bought it. I found 4 of the same book in goodwill for bargain. :D,0,0,0
4315,"Even though written as a screen play, very enjoyable!  If you loved the Harry Potter series you will like this.",1,1,1
1016,great product,1,1,1
4086,"The author was amazing, bringing what was lost to life. I look forward to the next series of books. This book must be the beginning of new adventures to come.",1,1,1
3025,"I have no problem with it being a script. And I didn't even mind the time Turner plot but I hated how it didn't introduce more children of characters we're familiar with. And they never told how the wizarding world has changed in nineteen years! It read like a fanfiction, I can't believe this is canon! Overall a decent book if it wasn't a supposed sequel to the Harry Potter series.",1,1,1
2509,I refuse to believe J.K. Rowling had any hand in writing this mess. Like many have already said it reads like a horrible fanfiction. I’m going to try to forget I ever read this.,0,0,0
1417,"Is JK Rowling's now James Patterson? Just letting someone use her name. I would say so, because this book/play/book was not up to her standards. Please, if your going to call it a book make it a book. I read all her books to my children but I won't be reading this one to my grandchildren. Well maybe if they really, really want me to.",0,0,0
647,I enjoyed the book very much easy to read and fun,1,1,1
3697,"Fun and fast read.  I found this to be a fun story, however less believable at times than Rowling's first 7 books. This is probably due to the fact that there is much less detail in a script when compared to the original books. As a play I can see where they can fill in those details with talented acting and set props to make it very entertaining. This book reminds me more of an outline for a full story. I was hoping for more details about their lives over the past 19 years but not much was offered. Instead it really built upon the friendship of albus and scorpius and their complicated relationships with their fathers.  Overall a fun read and just enough of a peak into the current life of Harry Potter to satisfy curiosity. Would definitely recommend to harry potter fans. As for those who haven't read the books yet (maybe you have been hiding under a rock for the last 15 years) they are definitely worth reading before diving into this one because absolutely nothing will make sense to you if you have not read the books.",1,1,1
1910,Loved the play format... Thoroughly enjoyed every minute!!! So happy to keep following all these Awesome wizardry Families... Mahaloz Plenty for such an Epic read... Aloha,1,1,1
308,person was really thrilled to recieve for christmas,1,1,1
4711,"Being reunited with Harry Potter and the gang in script form is tricky business. The storyline holds to Rowling's twisty standards, but the format does not allow for her rich descriptions, which are so much of her writing charm. The tale is solid, but it is a quick read, which for many HP fans will not be enough. I loved reading the tale in script format, as my imagination could fill in the blanks, but I long for more Harry and friends and am sad that I have already finished it. I can imagine that the play is quite entertaining.",1,1,1
4501,It was a well thought out continuation of the story we already know,1,1,1
2178,My ten year old has been anxiously awaiting this release.  She even went to the mid-night release party to get her copy as soon as she could.  She is very disappointed in the format of the writing.  Like a movie script.  This is not enjoyable to read and seems lazy to me.,0,0,0
1344,I loved the book.  It wrapped up a lot of loose ends from the series.  Hoping for another sequel in the series.,1,1,1
880,"Too many people have complained that this is written in the form of a play. For lovers of the series, it's a bit hard to adjust to the lack of detail, and the time jumps can be awkward. But it shouldn't have been a surprise to find the script between the covers. It's interesting to see how the children have adapted to the legacy of their parents. I'm glad J.K. decided to make the story available to those of us unable to attend the play in London. We can only hope for new books in the future.",1,1,1
4061,The only real problem with this story is that it's written in the form of a play.,0,0,1
4246,"I loved falling easily into the Magical World constructed by J K Rowling. The story was a great addition to the Harry Potter story. There were plenty of twists and surprises, as well as the comfort of familiar characters. I really do think this story was best done as a play rather than a book.Thanks to Rowling for another great story.",1,1,1
3338,After being a big fan of the Harry Potter series I was very disappointed to read this book. I had a hard time getting into the style. I wish she had just written this book in a normal fashion.,0,0,0
802,"Marketed as a book, but this is a script. It lacks the wonderful nuance and detail that made seven harry potter books so engaging.",0,0,0
1859,"I have a few things I really didn't like about this script and I will try not to spoil anything for those who have not yet read it.

My biggest negative after reading this as a Harry Potter fan was that the dialogue of the returning Harry Potter characters (Harry, Hermoine, Ron, etc.) felt very unnatural to the characters from the original series. I understand that Harry is now in his late 30s, early 40s in this play but there were times when I was reading his lines, and other returning characters' lines, where it just felt like that isn't something that character would say. There was also some dialogue that was really ""cheesy"" and felt like the writer was trying to force a laugh which made the line seem unnatural.

It is also missing the descriptive quality that made the original series so good, I understand it's a play and that quality would be lacking a bit but it was almost entirely absent in the scene descriptions.

The story line was pretty predictable (even the ""twist"" at the end was predictable) and was used much more effectively in other movies that had used it before.

I hope this review helps and I didn't spoil anything. I think any Harry Potter fan will check this out regardless of the reviews, as I did. But, if you're new to the Harry Potter series please read the original series and don't make this your first impression of Harry Potter.",0,0,0
1507,"As are all of the Harry Potter stories, this is scary in many places. I found this to be the scariest because of my constant worry about how sons and fathers love each other.",0,1,0
4904,Excellent.,1,1,1
3042,"I LOVED the original books, and most of the movies as well.

It is so so hard not to compare the screenplay version to the original books. The huge lack of details. The lack of content.
But, for what it is it was ok. Not great. Not amazing. But eh....ok. Seeing into the past and future was kinda cool.
I didn't get a real AUTHENTIC Harry Potter-JK Rowling vibe from it.

I hope she writes a real book version of this at some point to do the characters justice.",0,1,0
17,Excellent story. Loved it.,1,1,1
607,If you are a Harry Potter fan you will love it! I hope it gets made into a movie! More Harry!,1,1,1
3062,"I'm true Harry Potter fan and I can not accept this. I wish I didn't read it my memory stays with Deathly Hollow.
In the half of the book I was still waiting to see something is gonna change and with a huge twist I will love it. It didn't happen.

First of all, all the old characters lost their identity. They are not our Harry, Hermoine and Ron. There is huge change on Draco's being.

And Story was not exciting at all. It was all cliché.

I don't accept the fact that because of this is play it needs to support by actual play. When I read Shakespeare, I never needed to see play to understand characters' struggle, joy or regrets.

I suggest you not buy or read this book if you want your HP memories stays how they are right now.",0,0,0
951,Once you get used to the script format it was an easy read and a great story.,1,1,1
2945,"This ""book"" is a script. Got it. I went into it knowing there wouldn't be the beautiful writing of JKR, but I fully expected a plot just as magical as the original stories I hold so close to my heart.

The story reeks of fanfic. Instead of a fresh, exciting new story in the wondrous world of HP (which one could argue there are THOUSANDS of new directions this story could have taken), we are forced to revisit old plots with time traveling. Yawn. The characters, new and old, are terribly written. The plot twists read like a bad soap opera. I honestly did not enjoy the story and it breaks my heart to say that.",0,0,0
4044,The format of the book was different than what I expected. I still enjoyed it!,1,1,1
3492,"The format (written as a play) made it difficult for me to get into the story. I've read all that J.K. Rowling has written and seen the films, and this story does an excellent job of keeping the story line going and keeping the characters ... well, in character. I get why it was written as a play, but would have liked a book format better.",0,0,0
346,Good book,1,1,1
2943,Great book.  However my wife had purchased a copy of her own and hid the fact on me.  I had to return the item.,1,1,1
3297,"A very unoriginal plot accompanied by a desperate attempt to invoke nostalgia in readers and attempting to offer them some insight in a broader story of the Potter family. To me it felt like the TV-show Lost set in a world of fantasy - mistery after mistery bringing the story to a point where a reader will think: ""How the hell are they going to solve this whole connundrum?"" and in the end offers a very desperate conclusion to the whole adventure trying to convey some greater message in relation to family relationship. Not to mention the fantastical amount of plot holes.

I liked Snape's part in the story though. Was neat.",0,0,0
3212,loved it!!!,1,1,1
3636,Not impressed with the screenplay. You get doped by the large JK Rowling name and think it's her next book. Serves me right for not reading carefully. Don't recommend!!,0,0,0
2605,"It is a little hard to read so far, but I haven't gotten that far yet.",0,1,0
449,"Good read. Fun to hear from some of the old characters. Perfect for the holidays. Thanks, Mary",1,1,1
1664,rereading this and now I want to reread the rest! what a great escape for all ages!,1,1,1
4890,Loved being reunited with the Wizarding World again.,1,1,1
3557,"This is the first time I ever purchased a book in script form...will never do it again.  I was really excited to get this book loaded to my Kindle, however, I'm very disappointed in the style.  For me, it ruined the read.",0,0,0
2881,Great book but know what your buying. It's a screen play but still awesome if you are a Harry Potter fan!,1,1,1
499,Makes one want more. I wish I could see the play. I hope it is made into a movie one day.,1,1,1
3202,"reading a play was a little different, but it was good to have the gang back together",1,1,1
2349,Great 8th book to the series.,1,1,1
2946,A great read!,1,1,1
3445,Definitely not as good as the other books but still pretty good. Filled in a few things. Pretty good for a screen play too.,1,1,1
1416,"All wrong! I'm not sure how much ""input"" J.K. Rowling actually had into this piece of rubbish, as the characters that we have all grown to love are so completely out of character it's shameful. Rowling penned Dumbledore as once saying, ""We must all face the choice between what is right and what is easy""...this was very clearly the easy route to a quick buck at the expense of Potter fans who trusted that Rowling would not lead them astray. Alas, we were very much mistaken.",0,0,0
498,It was a little hard to read as a script but well worth it. May need to be adjusted for younger readers. Definitely recommend to all Potter fans. (Hope they make it into a movie like the others) 😊,1,1,1
927,Written in screen play format.  I enjoyed it but enjoyed any of the 'Harry Potter' books more.  This play/movie could form a good basis for future stories - would hope characters become more complex and the plot will build in this American setting.,1,1,1
3778,"I really wanted to like this story........ Like most people that probably bought this book, I grew up on the Harry Potter stories.  When I first heard a continuation to the series was coming out, I was excited.  I thought we would finally get the ending that the Harry Potter series deserved; I honestly did not think anything could be worse than the rushed epilogue of ""The Deathly Hollows""....I was wrong.
 I tried to be objective going into this book.  Honestly, while I have reread all the books multiple times and have  seen all the movies, I would not consider myself one of the many rabid  Harry Potter fans.  I recognized this was an adaptation to the story, so I was not looking for continuation errors.  It did not bother me that details in the books were overlooked and missing in ""The Cursed Child"".  It did not bother me that they made the Trolley Witch bonkers and Harry Potter's kid obnoxious.  What bothered me is they murdered the characters that made the Harry Potter stories great. It's a sad day when Draco Malfoy is the only decent original character in the story.
 Harry, Ginny, Ron, and Hermione where nothing like the characters in the original books. The heart of the original stories failed to be transmitted into ""The Cursed Child"".  There was nothing about any of the characters that made you love them, root for them, or even wish them dead.  The dialog was forced and one-dimensional. While the Harry Potter series were technically children/young adult novels, this story, above all the others, felt like it was truly geared towards young children. It was cheesy line after cheesy line, cliché after cliché.  By the end, I was even okay with the bad guys  winning - at least then, the story may have some oomph behind it.  But alas, the book managed to go all the way to the end without any redeeming characteristics.  The only reason I did not give this a one-star is it has the potential for actors to break the one-dimensionality of this script in a live production.  As written, this should have just been a free read online.  But, hey, anything for a more $$$, right?",0,0,0
2355,"Alright... I have to say it too.  As many have posted,  this play is highly disappointing... The screenplay is just terrible. It seems like cheap fan fiction... It just doesn't feel right.  Maybe it's just meant to be seen, not read--people that have seen the London play have been raving about how awesome it is--but I don't have high hopes visuals would save this play.  I am disappointed in the construction of the story and the pathetic,  lazy use of time travel to create the story. So much else could have been written,  and honestly has been by fans. I'm very upset with JK Rowling for having any part if this rubbish.",0,0,0
119,"As a big fan of the Harry Potter series, TCC was certainly a let down. I guess I let my hopes too high.

I'll talk about the bad things first then I will move on to the better aspects of this book;

Firstly, can we talk about how the Sorting Hat is totally out of order? Scorpius went first, then Albus? What even? Also... Bellatrix being pregnant is a big no no. She would be heavily pregnant in Malfoy Manor where she tortured Hermione if she was pregnant.

I dislike how they portrayed Harry. He's so weak in this, it's obvious he is not trying his best! He lost when fighting Delphi: REALLY!?

I really wanted to see Sirius when they used the Time Turner :( perhaps, when Hogwarts is all Death Eater zone and all, after Cedric supposedly won, Sirius survives and is on a truce with Snape? Hmm, would like to see how that would work out though.

Lots of other mistakes that have been pointed out in other reviews, so I'll leave the bad things there.

GOOD ASPECTS; Snape, Slytherin Albus and Scorbus suggestions ;)
But really, that's all.",0,0,0
1066,I would have preferred a purely prose format as opposed to the play script.  Hope to see it made into a movie.,0,1,1
1405,"It's not like reading the novels, but it's a good story.The characters are well done and believable.Give it a try!",1,1,1
4090,Excellent ---- I wish they would make a move of it.,1,1,1
4700,It seemed more like fan fiction than a true J.K. Rowling book.,0,1,0
2490,"I can only echo what many other reviewers have said here, and so I won't belabor the point...but I do wish now that I HADN'T read this book because it HAS tainted the originals for me, possibly irrevocably.",0,0,0
3745,"I love HP with most of my heart. I grew up with these stories. I pre ordered books 4-7 on Amazon as a child, flew to Florida just for HP World, listen to the audio books on repeat, all of it. But this.... this screenplay... is an abomination of all things HP. This play wouldn't have worked without JKs approval, but her approval is a discrace and just a way to ensure it makes money. The characters are so wrong, the things they say, the things they do, the actual characters would never ever in a million years say or do. It makes Harry look like a terrible dad, Ron an idiot, Hermione unethical. Don't even get me started on the concept of Voldemort procreating. I wish I wouldn't have read this. I'm pretending I didn't. I would burn the memory from my brain if I could. It didn't happen.",0,0,0
3230,"As far as the quality of the book itself -- it's great. Came on time, no damages. As far as the content of the book -- it's ok. Was not a huge fan of the story line.",1,1,0
553,This book is AWFUL!  I recommend you don't even try to read it because it will absolutely ruin the series for you!!!,0,0,0
3015,"It's common knowledge that Sir Arthur Conan Doyle killed off Sherlock Holmes because he was sick of his character.  After reading this, I can't help but wonder if Rowling is going through a similar phase.  Rowling didn't write this and Harry Potter didn't die, but it was a good way to do some damage to the Harry Potter legend.  I have read much better fan fiction and no it's not because it's a play.  I have enjoyed reading many a good play.  This story contained none of the endearing or enduring qualities responsible for the growth of Harry Potter into a major fictional industry.  If the books had been written this poorly, Harry Potter would never have a sequel.  I can't recommend this for anyone except the most obsessive fan, a category I would have included myself in before reading this book.",0,0,0
1395,"I was worried that the play format would be a problem with the story, but it is a good read. Thank you J.K.",1,1,1
54,This gave me the HP fix I need. Wonderful story. Surprises and the comfort of old friends.,1,1,1
741,I really wanted to like this book but it is written like a screen play.  I really don't enjoy that.  I read all of Part one but stopped when i got to Part Two. I liked what I read but not enough to continue.  I hope she comes out with a book version.,0,0,0
1528,I found it to be quite an entertaining and swift read.  It is a good story and another great addition to the Potter series.,1,1,1
1490,Everything she writes is gold.,1,1,1
186,Nope. Just nope. This play was nothing more than crafty pandering to loyal Harry Potter fans in order to make a buck. I'm ashamed I fell for it. I feel stupid and disappointed. Maybe I have myself to blame for thinking this was something it wasn't. Oh well. Two stars. My heart won't let me give anything associated with HP one star. I think it is time to officially leave Harry Potter to live out his days in peace. I'm just going to pretend I never read this.,0,0,0
4404,Didn't care for it -  sent it back for refund.,0,0,0
606,"It is very easy to read, I was worried about it being a play but I really didn't have any trouble with it. It was a little short.",1,1,1
1409,Very disappointed.  Did not like the play format in which the book was written. Found all the cues and stage directions very distracting to the flow of the book.  If she writes another in this manner I will not purchase it.,0,0,0
3103,"it is a waste of money!!!!! to many flash backs, no character building, was written to get all the harry potter lover to cough up 15$. Shame on you for that. You have gone Hollywood and this was written get some more money. NO WORTH IT!!! DO NOT SPEND YOUR MONEY!!!! VERRRRRY DISAPPOINTED!!!",0,0,0
3286,Worst story ever. Not a novel but a screen play some one wrote at Starbucks. Not a book at all this is a scam!!!!!!!!,0,0,0
2014,Finished it in a day and really enjoyed as a 30 year guy who started ready HP in the teenager years.,1,1,1
4250,"I loved this book. Read it in one day. The plot was a little out there and Rowling doesn't explain somethings which would help the story to make a bit more sense but it was a lot of fun for sure. Albus and Scorpius should have been a couple, it's very heavily implied even though Rowling tries to thow Rose in there as a ""love interest"" but it doesn't really tie well.",1,1,1
439,Excellent book,1,1,1
2831,"SPOILERS! BE WARNED!

When first introduced to the Harry Potter series, I really thought nothing of it-literaly- , that the amount of fame it had gotten at the time was, well, crazy.
 But after reading  even the first few pages I instantly got hooked and have adored the series ever since then.
Now when I heard a few months prior to the opening date that there was a new Harry Potter book, I was just thrilled!
But after reading page after page my excitement started to turn dull, and I couldn't feel the vibe I usually felt when opening up one of J.K Rowling's HP books.
Of course, I kept in mind that it wasn't the original author who wrote this book, and that was probably the biggest problem about this book.
Even if you bring in the seemingly best writer in the world to continue a book, there will most certainly be a change in the atmosphere of the book.
Harry Potter, the one thing in the world he wanted was a family, and he can't give up ministry work time to spend time with the only one he has now?
Hermione and Ron's daughter, Rose, judging a 'book by its cover' before even knowing the person.
That's not what either the parents would ever teach their children.
Look, the format of this book was 'alright'- a bit kidish to me- but I am only saying it was alright solely because of Snape.
But the characters weren't really truly there.
I felt as though throughout the whole book everything was monotone, just a robot talking, and that- as weird as it is to say- did break my heart a bit that these wonderful characters were wasted.
There was no joyful, scary, sinister, homey, evil, and AMAZING feeling in this book at all. But I need, really really need J.K Rowling to rewrite this herself.
No shade on the two new authors, but you can't just write someone else's book without making it your own, and not everyone wants that..
Hope this was alright.",1,0,0
3203,Waited forever to read this because I feared it would be difficult to read due to it being in script/play format but I actually found that it was an easy read and it made the characters easier to picture in your mind especially if you have read all the Harry Potter books and seen all the movies like myself. I would recommend this book to anyone who is a fan of the Harry Potter series,1,1,1
1203,"This is garbage. It's like Harry Potter and Degrassi had a mutant baby and it's horrid. I can't believe that JK agreed to this. My dad bought it for me for my birthday and I couldn't wait to read it.....and it was horrible. Scorpius and Albus both lack any sort of depth. They're bratty spoiled upper middle class kids that think they know everything.

JK, we don't want a script, we don't want to spend hours digging through Pottermore, we just want stories. Written by you, and only you. We don't even care about the theme park. We just want words. :,-(",0,0,0
3858,"It was worthy of being the sequel. I was a little confused at first as I was expecting a book rather than the play. But once i got over that, I was ""turning"" the pages rapidly! I read it on my Kindle and cannot wait to get the actual book to add it to my collection!",1,1,1
2946,"Let me start saying I love harry potter! Read all the books 3 times..  and when I got this.... I totally thought it was a novel and I was so confused , sad and disappointed when i realized it was a script play... I guess I was so excited to see there was a new Harry book I didn't even look closely at the cover that it was a script... *****sigh :(*******",0,0,0
1333,It was so good! - little hard to get past the format of reading a screen play. But overall I loved it! I would read a million more from Rowling.,1,1,1
245,Even though it's written in screen play format I very much enjoyed this book and found it easy to read,1,1,1
3020,"Great read, my 14 yr old and I really enjoyed it. No spoilers, but the 'way' it's written is 'different' - just stick it out!",1,1,1
1086,At first I was mad at the book because of the direction it was going with Harry son but it got better and I started to understand more why.  It was very good and interesting to read.  I was sad it ended.,1,1,1
3688,"Very different style from the rest of the HP books due to it being a play. Interesting story continuation for the characters, but wish it was longer to have more character development.",1,1,1
4501,"I was very disappointed. I had been looking forward to a sequel to the Harry Potter series. Instead, it is written as a play. I found it very disconcerting and could not get into the story at all. It's not a story at all.",0,0,0
441,This is a great book. One must remember that it is merely a script and not a complete novel like the other's in the series. If you have a good imagination then you can create the story in your head and see it taking place like in the novels.,1,1,1
34,cute,1,1,1
2433,"You need to have seen the movies or read the other books for some context, but it reads Great, Fast, and I want a movie based on it!",1,1,1
2205,Loved it wish she would write more Harry Potter books,1,1,1
1092,Didnt realize it was from India not USA. Was wanting for a replacement of a book that was damaged. It was USA Scholastic.  Thanks.,0,1,0
118,"I am happy i bought this overall... The book itself is not in any way written by j.k. Rowling. Do not expect her style of writing. It is however approved by her so i feel that's an important point to note.

This on my opinion is a fantastic book to have it you are a true Harry potter fan. It dives into the young Albus' life. And tells a different kind of story than Harry potter ever was. It is not about Harry anymore, but about his son. It is a lot about their bonds and how harry is learning to be a father now at this point in life.

It's the first time i have ever read a play besides in school. I read it in one day. It is not a long book. I mean it's like 300 pages but the text is spread out quite a bit. I had a great time reading it too... After starting, and this is the reason for four stars, it got slightly confusing with the quick flying through the years of Albus' life. I did not enjoy that particular part of the book very much and that's the point where i really noticed the different writing styles the most. i thought to myself i never would have gotten through all the Harry potter books of they were anything like that. I feel it could have been some thing like, beginning at Hogwarts, giving the background needed to get the story then go on to four years later and tell the story. That part was annoying and it's something i knew was going to end and i was just like, okay when will it be done. That is the only critical thing i have to say about the book. Which is pretty good since I'm choosy about my books. The screen play does not bother me a bit, I actually felt more there in the story than a lot of other books.  The story itself was great, i thought the characters were spot on,the personalities perfect, ups and downs and stuff i didn't expect but that added to the story so much. i love the overall additions this adds to the HP library... I still separate the Harry potter books in my head from this book but it's probably just because i have only read it once so far. I ummm love Harry potter, it's the best series i have ever read. I can read the books over and over.

AS a side note; I watched a documentary type deal on j.k. Rowlings decision to allow Jack Thorne and John tiffany to make this and she said she refused dozens of offers over the course of years before allowing any third party people touch her Harry Potter story. She did not decide on this book lightly. It is a great story and i would say a must of you are a Harry potter fan like i am. Even if it's separate In your head from up you'll be glad you read it, i was anyway. Hope this helps someone to decide. It's money will a on my opinion.... Also where else are you going to get an entire days worth of entertainment for $10??? Worth it!",1,1,1
886,"I was a little leery of this book at first, haven not been written by J.K. Rowling. And it being in script form was a little clunky and hard to get used to at first, but in the end I loved this book.",1,1,1
