content_lem,sentiment,predicted,length
alright i just finish this a halfhour ago i really dont have any complaint maybe im too tire after buy this book at midnight to give clear judgement but im gon na try anyway nothing really majorly mad if youre a potter fan youwill enjoy this i like how the character have progress and i like how none of them be perfect they all have flaw and a major part of this be that harry have flaw i really enjoy this only complaint be that it be in script form i understand it perfectly i just miss read harrysor in this case probably albuss thought ,1,0,541
i love the harry potter universe and iwill read pretty much anything the jk put her stamp on but if you be read this review i doubt you be like them then1 it a script for a play it cearly not even the work script because there be no stage direction a all just a blip here and there about where they be it all dialog2 the plot be write like a 90 reunion episode for your favorite 80 sitcom family they go out of their way to have people that shouldnt be in the hp universe 20 year in future pop in for a cameo the dialog be much good than what you find in those tv events3 40 year old be kind of lame and have flawsread it if you love harry potter dont read it if you be a casual fan ,1,0,683
something you have to remember before read this be that this be mean for a play and not write by jk she have control over it work with the playwright to make sure it stay true to the harry potter world a it be write for a play of course it not go to be extremely detail it a play im not a fan of read script so that be difficult to get past for me but you get use to it as far a the storyline it a bit of a stretch but if jk approve of it then i accept it it felt like closure for a series i have love since i be a child a closure i didnt know i need and some people have say that it felt like fanfiction well it be it just original authorapproved fanfiction all in all i think it a pretty good book ,1,0,700
this be not a harry potter book please dont try to make it one before read this i know it wast write only by jk rowling and that it be mean to be see a a play and everyone else should remember that too it doesnt feel the same a a harry potter book and the character dont always feel like the same one but these character have age 20ish year and these word be mean to be bring to life on stage and not read on a page it be a good story but it have the limitation of a stage production you cant expect it to have the same depth and plot a a book might while i havent see the live production i can tell you this be an amazing play but it be a mediocre book if you remember that it isnt a book you will love it ,1,0,707
first off this be write a a play with the majority of the write come from jack thorne not jk rowling however the writing style be very in sync with her other book this jump around a lot more than a traditional novel with much short chapter if you will because it be design to be act out on a stage in front of a live audience come in at just over 300 page it be a quick and easy read the story line be actually not bad at all though some seem to be throw fit about it it take a little get use to read this a a play but it didnt bother me much at alli recommend give this book a try it actually well write with a viable story line and interesting plot twist sorry for be vague and non informative in general i dont want to deal with spoiler ,1,0,740
im not sure what people be expect be you expect the 8th enstallment to the harry potter series be you think this would be write like a novel by jk rowling chronicle the future of the wizarding worldthe title of the book itself clearly state none of these thing it be upfront in that it be base on an original story by rowling but be not write by her it say it be part 1 2 of a screenplay yes a play call the cursed child mean it be not a part of the first 7 harry potter book and it be also write a a screenplay not the usual novel form past hp book be write inno the character do not have the magic or come to life like in other book write by rowling because she do not write thisfor what the book be it isnt bad it give fan a look into the world of magic after harry potter life at hogwarts if you be a die hard fan keep in mind this be not the 8th book rowling do not write it and do not expect it to follow her way of write ,1,0,928
i almost didnt read thing because the review be so harsh but the plot on wiki sound like something i want to happen since book one this epic story come in the form of a play manuscript and leave much up to the imagination if you be strong with your own hp imagery then this will be a pleasure to read it will take a couple of chapter to get use to the format no doubt but press on just when you think you have it figure out there be a plot twist i have not see comingas a writer i become skeptical when author dont push plot to their full interest this story reveals layer by layer a question i have be ask for eon what would happen if potter get sort into slytherin but then it go a step far than you can imagine this be all i can say without reveal spoiler about this spellbind book the whole cast and crew be present to assist with an epic tale prepare yourself for the ride of a lifetime and please dont knock it till youve try it ,1,0,935
spoilersaim not just say that a a fanboy because jkr didnt even write this booki love it because it perfectly reflect my own life of try to make my parent proud then when that doesnt work just a with albus i would work hard at try to fix broken thing to only make them bad to try again and make them go even more bad to the point that life become like black horrify pit of hell this be what happen to albus and be exactly how my own life play out and just when you think the horribleness be over it only get hard but through these trial we become strong and wise and we learn that be skilled at something have lot of money or romantic love none of that really matter it nice sure but none of it matter the thing that we must set our focus on far exceedingly more than those trivial thing be friendship that be where true strength lie with friendship nothing be out of reach everything be achievable if we place friendship a priority onejayallan bennett ,1,0,953
80 like 20 dislike not hateokay first thing first so a lot of people have express their feeling of hate for this book let get this straight people i do not hate this book the only reason this book get 4 star be because the character be not themselves but iwill get to that later first i speak directly to those who havent read it yet ignore the bad review they be say what they think you might like it so go on buy the book and give it a try second my opinion the book be fg awesome the plot be interesting and a lot of people dont agree but spoiler alert i kinda like the time turner and a time turner that only go back 5 minute at a time yessnow for the bad part a a lot of people have already say j k rowling do not write this book i completely agree again the character be not themselves since when have harry be this grumpy and why have they turn ron into a fred substitute how can draco suddenly talk to hermione with respect thats all i have to say ,1,0,956
the gift receiver be absolutely enamor by the box so much so she willingly stop protect her husband from me a little backstory i be friend with her husband first and throughout the year of know him he have sell me inch by inch more piece of his sphincter and color start from his anus these be transaction that usually include me feed him delicious home cook meal or treat him to a man date i be a straight man but weve play this game where we try to catch each other off guard and do thing like cop a feel grab butt or even do kancho see definition below after he meet his wife shes try to be his shield why i be tell this story after gift his wife this a a christmas present she say to him that she can not protect him any more because i give her the best present everlong story short this can make wife stop protect their husband from be molest or violatedkancho be a game or trick often play in japan by young schoolaged child it be perform by clasp the hand together so the index finger be point out and attempt to insert them into someone anal region when the victim be not look ,1,0,1085
i go into this book expect not to like it too well because of the review but a a harry potter fan i know that i would have to read it eventually the play format be hard to get use to at first but after a while i start to get into the groove of it however the story line start off slow and be kind of depress the main focus be on albus potter who seem to be the complete opposite of his father and resents live in his shadow he seem to be very lonely and depress in his life and the only positive thing be his best friend scorpius malfoy about 14 way through the book start to get well when the boy decide to help out amos diggory who want to use a time turner to bring back his son albus and scorpius make several attempt travel back in time try to change the past but all their attempt create terrible butterfly effect on the present i do enjoy read about snape very briefly in one of the alternate reality travel to since snape be my favorite character but like other people have point out all the time travel stuff do kind of read like fanfiction the book be ok but i be sad that the main character of the harry potter series just seem to have just get old and boring ,1,0,1171
spoiler ahead pretend this be a fan fiction and you wont be disappointedi loved learn about album scorpius draco the relationship between harry and others and the touching sentiment before imminent death i adore those aspect for that alone i enjoy this scriptthe reason i say pretend it afan fiction be because im sorry jk rowlings but you write such a tight series to start with that people know your character as well a you voldemort quite simply would not have a child he wouldnt he didnt love and obviously sex can occur without love but he didnt want an equal there be no way hed have risk a child throughout his entire life need to be the only special one the only heir of slytherin he kill his father for cry out loud family mean nothing to him power for himself alone and self sufficiency be all he care about he be not get freaky with bellatrix noope hed have create another horcrux first then there be the issue of time turner say one do survive it sort of a lame way out this isnt back to the future and no one want it to be id have prefer this to be some sort of what if dreamspell than actual time travel i get that im an adult read about a faux magical world but i guess time trave of this magnitude be just a bit much for me thats why it feel fan fictionbut again go back to the character be awesome ron always my favorite remain my favorite draco be perfect great to hear their voice again take it with a grain of salt and enjoy hang out with the character we grow up with ,1,0,1489
first off i do not regret buy this book whatsoever it be a play whos story be base off jk rowling and have input from her but she didnt write it know this before you read it be very important because i go in not expect the level of development and creativity that rowling have in her book and that allow me to enjoy the book much more because i wasnt pick out the detail that be wrong that be the end of my spoiler free reviewok so like many book there be thing i love and hat about iti lovedmost of the plotpages 053 be amazingscorpius malfoy be the most amazing jscbjrjslkhhthe look inside the past and different charactersthe endingvoldemorts secret love childslytherinsanything dark that happen in the script because it be very intriguingharry and ginnys relationshiprose granger weasleyharry a head of magical law enforementshermione as ministerastoria a a characterdracos ponytaili hateddislikedthe abrupt character change with albusdraco and harry become friend since they be duel early and it seem forceddelphi just in general her plan didnt make sensethat cedric could become a death eater just because he be humiliate at 17 like no he be a hufflepufftoo much time travelthe trolley witch doesnt makeany sensethat weird i love you scene with dumbledores portraitvoldemort daythe diggeroys be too important in this playi could write more but i think this be good enough if you be a harry potter fan this a must read just dont go into it think it will be the same a rowlings write also sorry if there be a lot of typo i wdoge this on a kindle paperwhite ,1,0,1561
i feel i must start this review by say that i be a die hard harry potter fan i have all the book on audio and listen to them on repeat on a daily basis they be my background noise or white noise i can quote whole section at a time with jim dale a he read it i eagerly suck up any additional story or writing i can from jk about the wizarding world and for that reason alone i love the play with that be say i be disappoint by the obvious lack of jks skill in this play it be obvious that it be write by someone else and only approve by her there be a lack of detail in the storyline and more flat out bash you over the head with information the story also seem rush a compare to the book this might be because it be mean to be enjoy a a play and not a a book but i find it to be a little disappointing from this point on i warn you of spoilersspoiler alertspoiler alertspoiler alertthe story pick up at platform 9 34 19 year later already i be annoy that some line be speak by the wrong character but maybe i be the only one that pick up on that albus become best friend with scorpius scorpius and albus become best friend albus and scorpius be attach at the hip inseparable friend we get it they bash you over the head with it unlike jk who let you discover character development through character behavior these guy flat out tell you over and over and over again i find it a little insulting but maybe it come across different in the play i hat the lady that push the trolley they change her from a human witch into some strange bogart like morph monster it seem out of line for the wizarding world and rather uninventive i find it more likely that there be a spell or barrier that keep the student on the train and not a monster cart lady that be as old a timei do like hearing about where harry ron and hermione be now i find it perfectly natural that ron be a huge jokester now we all know that he take over freds spot in the joke shop and with his wife be in a serious position like the minister of magic it make sense that he would balance out the relationship by be over the top funny i also like the way they portray ginny and harrys relationship ginny always do seem more insightful than harry so when he fly off the handle at albus it seem natural that she would comfort him and be able to reassure him that al will forgive himi always think there be something between bellatrix and the dark lord so to hear they have a daughter seem entirely natural there be easily enough time between when we see them at the beginning of book 7 july so probably already pregnant but not show and when the snatcher bring harry to the malfoys for her to have have a babyover all i be glad to have further information on where everyone be now but i be disappoint in many part of the plot the way it be write and the lack of jks input this wont be something i listen to on repeat but i will likely still read it once a year ,1,0,2917
when the harry potter series end i know that it wouldnt really be over not permanently for one thing there be too big and devote a fanbase for another too much money to be madeand i be right with the 2016 release of a new movie set in the same universe and harry potter and the cursed child a stage play that also serve a a sequel to the original series while it lack the narrative ebb and flow of the book three year pass in a few page it a solid enough sequel that expand the story into the next generation there dark overtone plenty of new character and more magical shenanigansthe story begin where the last book end with harry potter ron weasley and hermione granger send their child off to hogwarts but albus potter quickly find that he regard a a disappointment by everyone there not be he pretty bad at magic but he quickly become best friend with young scorpius malfoy and be sort into slytherin a the year go by both scorpius and albus be trouble albus by the weight of his father legacy and scorpius by malicious rumor that he actually the secret son of voldemortmeanwhile harry and hermione discover that a new superior type of timeturner be be create and harry begin have strange dream that hint that something horrible be come after the two boy use a timeturner to try to right an old wrong they find that theyve mess up the timeline and a they try to fix the mistake they make they soon find themselves in the grip of a terrible enemylike most timetravelcentric story harry potter and the cursed child become a little braintwisty at time but the core of it be essentially about two relationship one be between the unlikely best friend scorpius and albus two boy who seem like opposite until you realize that both be burden by the legacy of a fatherrumored father and the other be about harry and albus a father and son who love each other but cant communicate well and the clash between albus moody loneliness and harrys overprotectivenessadmittedly the concept feel rather like a fanfic at time especially the big reveal about a certain character true identity no im not go to mention who it be but it eyerollingly fanficcy however it a fairly wellwritten one with some quirky dialogue i dont remember the last time someone ask my name what be your name ive forgotten and new character who fit fairly well into the narrative there be also some chill glimpse of a hogwartsthatmighthavebeen after twenty year of ruthless rule by voldemort and his followersand of course fan will see a lot of familiar face not just harry hermione ron and draco but a number of less character in the past or alternate present such a snape or umbridge and it do an excellent job flesh out some of these character such a an old griefstricken draco malfoy who ironically have more insight into albus than harry do the scene where he and harry discuss their family and experience be one of the best of the playprobably it big problem be a few conversation that dont add much to the actual story or character but arent wellwritten enough to be entertain on their own ginny and harry discuss albus and his issue which be quite cliched it feel like it need another rewrite or two in place or a scene or two whittled downharry potter and the cursed child have a somewhat fanficcy flavor but be a fairly clever story with some solid dialogue and two strong characterdriven subplots i doubt iwill be watch it onstage but the story itself be certainly worth check out for fan of this universe ,1,0,3478
this review be 98 spoilerfreei finish read this snappy read about an hour ago i havent really read any review of it other than some of taglines like so many twist there be no more twist to this story than any other potter story perhaps the cruel twist then be in expect reader who have never read a play to hope it reach them as emotionally a the first seven story didwithout the narrative and inner voice to accompany what be little more than dialogue and stage direction the author be force into weave slight contrivance into the dialogue to help shepherd the reader into understand the motivation behind any give character in any give scene in the end it work but i wonder how many reader get that far without become frustratedthe story center around albus severus potter remember reading that name in deathly hallows and almost be move to tear at the significance behind it it seem that albus isnt all that interested in what make mom and dad name him that in fact his priority appear to be in come to grip with be the son of harry potter another of the main character be a kid name scorpius malfoy who also seem to be have issue live up to his own father best wish through a series of encounter and early on in the story we learn that albus and scorpius who somehow have find themselves to be kindred spirit be contrive to step back into the past with a time turner to right a wrong and make the world a good place it wouldnt be much of a story if they succeed in do just that so theres all sort of misunderstood action and misstep along the way you dont have to read too many book on time travel to know that sometimes thing can really go wrong with the slightest of action a temporal butterfly effectin true rowling fashion thing get off to a bang and theres loss of life at stake on a massive scale depend on whether or not the potter and malfoy progeny can undo whats be do of course they cant not on their own and even then there be some minor complaint about the writing at time it seem a though this be a story wrap up in a trivial pursuit game many name from the past be reintroduce a can be expect in any series that have run this long but often we be meet with obscure name that may have be mention once in an early chapter of an even early story in the set and thats the only mention be the author offer a nod to the true potter geek i didnt consider these moment a roadblock but they be certainly distract and seem to be shoehorn into the text in a unwieldy a manner a could be expectedthe story be very good everything a true potter fan could have hop for among the bestwritten part in the play be the redemption and acknowledgment of past courageous act for a number of wellknown character this seem to also be a nod to true devotee who may have felt certain character sacrifice both know and assume go unappreciated for too long i dont want to spoil anything so iwill leave that up to your imagination a to whom im write about regardless these passage could have be write in a ridiculously syrupy manner and perhaps if this be a traditional novel that would have be the case but the stage be too swollen with action for character or audience to dwell too much on them the author be to paraphrase one exchange planting acorn for the ride home and for the week to comeone thing that stand out to the even mildly observant reader be that try to stage this play a write would be a courageous endeavour there be seemingly hundred of scene scatter through the act and the magic be deeply ingrain throughout how certain action could be translate to the stage be beyond me but thats happily not my job it do make me want to see the play in person howeverwhat would be even more interesting would be to see how it could be bring to the cinema screen it would be interesting to see it happen but it would have to occur with at least one major change in the cast alan rickmans pass would demand someone that could handle snapes line not much of a spoiler since it already be reveal that the play involve a good deal of time travelso anyway a good read almost a mustread for the true potter fan with a gentle warning to approach with caution remember it not a novel there be a good deal of read between the line require in order to follow along without get too frustrate ,1,0,4279
,0,1,0
booringg ,0,1,9
it a play ,0,1,10
pea on it ,0,1,10
the format ,0,1,11
a total yawn ,0,1,13
dissapointed ,0,1,13
it a stupid play ,0,1,17
it a movie scribe ,0,1,18
difficult to follow ,0,1,20
confuse and disjoint ,0,1,21
ship to wrong address ,0,1,22
albus and scorpius be gay ,0,1,26
i think this be another story ,0,1,30
read like a play didnt like it ,0,1,31
be not a great fan of the book ,0,1,31
very hard to read persevere but ,0,1,32
disappoint prefer narrative to play ,0,1,36
7 great book and then this enough say ,0,1,38
nowhere near the quality of the series ,0,1,39
horrible unimaginative repetitive dull ,0,1,39
if youre an hp super fan skip this one ,0,1,39
it be not as good a i think it would be ,0,1,40
write in play format very hard to follow ,0,1,41
not enough depth to it slow move and bore ,0,1,42
though it be a regular book but or mistake ,0,1,43
meh it not much it more of a playscript too ,0,1,44
url try this book here maybe you would love it ,0,1,47
i suppose see the play would fill in the blank ,0,1,47
ruin harry potter for me bad decision to read it ,0,1,49
i think it be a novel it be a script of the play ,0,1,49
it be hard for me to read because it in play form ,0,1,50
it only a script there be none of the book include ,0,1,51
the story be interest but i do not like read a script ,0,1,54
do not like the way it read wish it be a regular novel ,0,1,55
i want the actual book not the rehearsal edition script ,0,1,56
all of it i persevere and trudge through then wonder why ,0,1,57
the writing be often laughably amateurish the story be ok ,0,1,58
i do not like the play script style rather have the novel ,0,1,58
not exactly what i think it would be not very interesting ,0,1,58
the book cover be all wrinkle and have three knife cut in it ,0,1,61
mislead think it be a novel be just a very simplified script ,0,1,61
not as good a the original seven not miss much if you skip it ,0,1,62
i never once felt like i be be transport back into that world ,0,1,62
very difficult to read because it be writtem like a play script ,0,1,64
i love harry potter but this book the cursed child it really bad ,0,1,65
read like mediocre fanfic i expect well especially give the price ,0,1,66
find it difficult to read i didnt realize it be actually the play ,0,1,66
this be an insult to the harry potter series i wish i hadnt buy it ,0,1,67
cant give a review since mine have yet to be send to my kindle fire ,0,1,68
write like a play script weird okay but would prefer an actual book ,0,1,68
not what i want and it a pain to ship backit be write in playformat ,0,1,68
disappointed not very good the other review youre see here be correct ,0,1,70
the only good part about this screenplay be the gift of scorpius malfoy ,0,1,72
maybe it work a a play it aweful a a book soppy and overly melodramatic ,0,1,72
write in play form and model on back to the future not very entertaining ,0,1,73
well make book good price unfortunately the book itself be a piece of crap ,0,1,75
disappoint it be in play form otherwise okay not as good a the guest 7 book ,0,1,76
i dont care for book to read like a play too distract try to follow story line ,0,1,79
i want so much to say i love this story but it read like poorlywritten fanfiction ,0,1,82
definitely read more like fan fiction try to force too much into too short of a work ,0,1,85
i havent read it i purchase it by mistake i want the actual novel not the play script ,0,1,86
didnt realize this be a scriptin book formthought it be a new novel in the seriesoh well ,0,1,89
lame unoriginal bringing together snippet of the old booksshe should have stop with book 7 ,0,1,91
if a boggart be to come out of a cupboard it would be in the form of this book it be atrocious ,0,1,95
just not as good a the harry potter series they go back and forth in time i start to lose interest ,0,1,99
i dislike play script that may have be part of it the interior life of harrys child be superficial ,0,1,99
im a huge harry potter fan but i honestly cant say anything good about this wish i could get a refund ,0,1,102
average read retread of story already tell on a more interesting read not on par with original series ,0,1,102
only a small minded person would put politics and refer to politics in a fantasy book well luck next time ,0,1,106
expect a lil more but good script good to know a little more background glad to see how the transcript be write ,0,1,112
when i reseed this book i be thrill but when i open the it my mood change it in script form vary sadly i return it ,0,1,115
from a hp fan this book be not good erg i wait year for this it an ok read but not up to the original book standard ,0,1,116
it be not write like the other harry potter book my son have read them all and love them it be write like a screen play ,0,1,120
market a a book but this be a script it lack the wonderful nuance and detail that make seven harry potter book so engage ,0,1,121
find it depress and too complicate for child who really want to read about middle age harry and friend and their sad life ,0,1,122
why do everyone have to keep redo thing until they eventually screw up and tarnish the legacy toy story be next im tell you ,0,1,124
overall i find the cursed child to be a huge let down it start off ok but the story just make less and less sense a it go on ,0,1,125
i wish this be an audio book too i have the book itself and like it but sometimes it nice to clean and have someone read to you ,0,1,128
major disappointment in the annoying play format as well a the quality of the story compare to book 17 of the harry potter series ,0,1,130
just a whirlwind tour of great hit sadly little original although the bromance at the heart of the play be surprisingly well drawn ,0,1,131
i wish i hadnt read it it detract from the original story and take a little of the magic away from the whole harry potter universe ,0,1,131
the story be really cheesy im a huge fan of harry potter but this book be terrible i hope that future harry potter book will be good ,0,1,133
spoiler aheadpart i they go back in time and mess up the worldpart ii they fix itthe end everything go back to exactly how it be before ,0,1,136
the reason im give 2 star be that that i dont like the format otherwise the story be quite good o will ve wait for the book format version ,0,1,139
ok storey line for the follow up but not as good a original writing and have many blank page in it and read like there be page of line miss ,0,1,140
it doesnt read well but maybe it a good play i dont think iwill be buy the fantastic beast screenplay after read this really be hop for more ,0,1,141
enjoy rowlings character much better the character seem to lack the humor and depth of the book character ok story but the book be much good ,0,1,141
i love harry potter and just couldnt wait for this book to come out it be write in the form of a play and i hate it i just have to put it down ,0,1,143
hard to follow book not much emphasis on hogwarts very little depth to the story just skim along do not recommend this book wait for the movie ,0,1,143
so dissapointed difficult to read no flow to the story after wait for a new harry potter book for so long im leave so dissapointed and discourage ,0,1,146
story be okay not her best by any stretch of imagination do not like read it a a play annoying and take away from the story i hope the play be good ,0,1,148
boring and predictable if you be a hp fan here be some advice dont read this it be to the hp series a go set a watchman be to to kill a mockingbird ,0,1,148
who write this book i mean script come on talk about rediculous rowling you owe your fan a book i like to rename this harry potter and the great scam ,0,1,150
i love the harry potter series this sadly be not a good departure at all perhaps the expectation be too high and it will be a good read at a late date ,0,1,151
there be so many thing in the book tat dont make senseespecially bellatrix have a child sinice she be always fight and never pregnant in the last book ,0,1,151
skip it read in 2 hour play format not novel numerous flashback we have see already and some have inconsistency or down right inaccuracy time travel tripe ,0,1,155
i be a harry potter fan i think the story line be fine but i find the script format very distract and i do not enjoy the book in the same way i have others ,0,1,156
when i read this book i hat it so much it really stupid and have the component of every single book thts dumb it base on some poop that they make in 2 second ,0,1,158
after two decade of love harry potter along come this cursed book which be nearly dreadful enough to extinguish any affection ive previously felt for hogwarts ,0,1,159
the book come in perfect condition thanks amazonhowever dont waste your time buy it the script be a major let down and ruin the previously establish magical world ,0,1,163
be hard for me to get into the play format storyline be ok but not even close to the previous harry potter book cant think of anyone i would recommend this book to ,0,1,164
so disappointed this isnt a book it a play probably a good play but my strong desire to read the book die when i open it this play may be fantastic but it not the 9th book ,0,1,172
as much a i will always love the series this eighth story will not be read twice it be nice to revisit the memory but the direction of the story itself wasnt all too thrill ,0,1,173
i love the harry potter series i even read them for 10 day out loud while my husband be in the hospital i sure wouldnt read this to him or recommend it to anyone what a waste ,0,1,175
i love harry potter so much it be my whole world but i really didnt like this book it be a play script so im assume the play be well and i shouldnt judge of the book but still ,0,1,176
love the book itself but not the story it be soo different from harry potter and the fact that the character didnt even have the personality we have all grow to love over the year ,0,1,180
even though it a play and therefore one doesnt expect the same plot development a a novel it have none of the dynamic of rowlings novel would have to see it stag to well evaluate it ,0,1,182
i didnt expect this to be in play form which doesnt read a easily for the average reader i think also i felt there be too much repetition from previous book and not much new content ,0,1,182
like many on here i purchase this more or less blind on kindle expect something write by rowling this be sub standard a literature although the play itself may well be excellent in performance ,0,1,193
i be a 68 yr old grandmother and i read harry potter with the kidsthis book stinksdont waster your money if you have to read it get it from the library so you can use your money for a good book ,0,1,194
i can only echo what many other reviewer have say here and so i wont belabor the point but i do wish now that i hadnt read this book because it have taint the original for me possibly irrevocably ,0,1,196
not as good a previous novel by a long shot even give that this be a script it an easy read and fun to see beloved character grow up but the story be flat and uninspired compare to what be expect ,0,1,196
the script format leave out a lot of description and feeling that a novel would reveal the character do not speak in a manner consistent with their style in the novel story hard to follow disappointing ,0,1,202
the story line be good but jk rowlings know how to tell a great story this one because of it be write a a broadway play do not deliverwe would have enjoy it more a a novel rather than a script for a play ,0,1,204
disappoint i have love the harry potter series for a very long time however this do not live up to the excitement of another chapter to the harry potter series if it be write like a novel it might of be well ,0,1,208
hp use to rock what happend this book have no meaning at all also it really annoy bc it in script whats the point so anyway if you have not read it yet then consider yourself lucky and definitely do not read it ,0,1,211
a pitiful excuse for a harry potter book the rest of the review here can give you more detailed account of this screenplaybook hybrid but if you want something concise to discourage you from buy this book this be it ,0,1,216
it like you could tell which part jk rowling do and which part she didnt a lot of it be stilted in a way that isnt the rowling style i enjoy still the overall plot and plot style werent bad although transparent at time ,0,1,219
i download the free sample to see if i would like this series as much a i do the potter series my sample include the title page the acknowledgement page and the list of those individual involve do i want to buy it how would i know ,0,1,231
this book be write in a script format which make it very difficult to read not a fan of this style i be really hop for a more normal version of this story oh well if you dont mind the script style you will probably enjoy this book ,0,1,231
i know that it be a play or thats what the book be make for but it not great to read it that way so i wish i have come more in a book style then have to read each character partor that we be give a choice a to how to read the book ,0,1,231
i definitely find it interest to visit a possible future for the golden trio other hogwarts alum but this be not part of the story i love so much im dismay to see that amazon include it in their series of 8 hp e book available for kindle ,0,1,238
a horrible excuse for a book in the harry potter universe if youre one of the few people who actually like the epilogue at the end of the deathly hallow then this book might speak to you but if you hat the epilogue youre go to hate this book even more ,0,1,252
my daughter who be 28 and teach high school english want this book to add to her harry potter collection so i order it for her for christmas we end up borrow the book from a friend and she hat it now im not sure if she still want the book for christmas ,0,1,253
disappoint it be a if rowling forgot who harry be he say thing that be out of character ron be portray a less intelligent than he be for me the most likable thing about the story be the friendship between the boy and the evolution of harry and draco relationship ,0,1,263
the only thing worthwhile in this script be the relationship between albus and scorpius but make sure to stop reading before the end before the author get scar off from depict real love between two young men and throw scorpius to the harsh and judgemental rise weasley ,0,1,269
sloppy and thrown together with very little thought or building of the new character i miss the image that the other story paint with great detail effort and imagination this book lack all of that i honestly wish id never read it and stop after the last book of the original series ,0,1,282
