web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,helpful
"1584086084-1412","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","HP fans enjoy!","Reviewed in the United States on September 19, 2016","The HP fans in the house were eager to read the last book.  A light and quick read!  Can't say anything bad as I am a true fan!","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_142?ie=UTF8&filterByStar=positive&pageNumber=142&reviewerType=all_reviews","null"
"1584086007-1066","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Bianca","Loved this book","Reviewed in the United States on August 24, 2016","So cute! Loved this book! Though if you're used to reading in novel format, it takes some getting used to since it's in screen play format","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_107?ie=UTF8&filterByStar=positive&pageNumber=107&reviewerType=all_reviews","null"
"1584086322-2491","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Sue","Book","Reviewed in the United States on October 2, 2016","I haven't read it yet","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_250?ie=UTF8&filterByStar=positive&pageNumber=250&reviewerType=all_reviews","null"
"1584086110-1531","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Dan","Highly recommend","Reviewed in the United States on June 21, 2017","Very pleased with price and transaction overall, Thank you!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_154?ie=UTF8&filterByStar=positive&pageNumber=154&reviewerType=all_reviews","null"
"1584086445-3055","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","cheryl nixon","Potter mania","Reviewed in the United States on September 29, 2016","Great as ever","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_306?ie=UTF8&filterByStar=positive&pageNumber=306&reviewerType=all_reviews","null"
"1584086759-4490","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","kenzcp","Throwback Magic :)","Reviewed in the United States on August 4, 2016","I loved it. Great trip down memory lane. No, it was not anything as magical as the original series. However, it was still a great read and really got good in the second act. I'm grateful for this. Thank you for bringing back a little magic in my life.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_449?ie=UTF8&filterByStar=positive&pageNumber=449&reviewerType=all_reviews","3 people found this helpful"
"1584086566-3618","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","Short","Reviewed in the United States on September 7, 2016","It was very short and felt like it had to fast forward through lots of description be used itsome written as a play.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_362?ie=UTF8&filterByStar=positive&pageNumber=362&reviewerType=all_reviews","null"
"1584086204-1957","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Vivian","Five Stars","Reviewed in the United States on September 26, 2016","Excellent story. Loved it.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_196?ie=UTF8&filterByStar=positive&pageNumber=196&reviewerType=all_reviews","One person found this helpful"
"1584086144-1693","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","marcia m","Great","Reviewed in the United States on July 10, 2019","Love the entire harry potter series..felt like a big child buying for me and my granddaughter.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_170?ie=UTF8&filterByStar=positive&pageNumber=170&reviewerType=all_reviews","null"
"1584086585-3710","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Dwconn","Great quick read that keeps the spirit of the original ...","Reviewed in the United States on September 3, 2016","Great quick read that keeps the spirit of the original books in mind while taking you on a new adventure.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_371?ie=UTF8&filterByStar=positive&pageNumber=371&reviewerType=all_reviews","null"
"1584086304-2411","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","lindsey","AMAZING!!","Reviewed in the United States on December 7, 2016","AMAZING!!!  The only bad I can say is I wish she would continue write books that take place in the Harry Potter world!!!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_242?ie=UTF8&filterByStar=positive&pageNumber=242&reviewerType=all_reviews","null"
"1584086847-4883","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","Great ending","Reviewed in the United States on August 2, 2016","I was excited for this and now I have it. I like how it used original characters and continued from part 7.
(The above review is written by my 9 year old son, a note which may or may not be useful)","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_489?ie=UTF8&filterByStar=positive&pageNumber=489&reviewerType=all_reviews","One person found this helpful"
"1584086468-3164","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Brian Burke","Four Stars","Reviewed in the United States on October 9, 2016","Not Rowling quality but worth a read for Potter fans","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_317?ie=UTF8&filterByStar=positive&pageNumber=317&reviewerType=all_reviews","null"
"1584086631-3917","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","A. Young","Awesome!","Reviewed in the United States on August 14, 2016","I thoroughly enjoyed reading this! Kept me turning the page. Look forward to the movie.  Great job. Good work writers","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_392?ie=UTF8&filterByStar=positive&pageNumber=392&reviewerType=all_reviews","null"
"1584086667-4062","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Christina Nokes","I enjoyed this read very much","Reviewed in the United States on August 15, 2016","Interesting story that is relevant in every era and every generation.  A great story of being a child or a parent.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_407?ie=UTF8&filterByStar=positive&pageNumber=407&reviewerType=all_reviews","null"
"1584085790-209","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","FosterTheRobble","Harry Potter and the Cursed Child-Parts One and Two Playscript.  by J.K. Rowling, John Tiffany,Jack Thorne","Reviewed in the United States on April 7, 2018","I found the formatt to be a very interesting presentation and enjoyed the introduction from the standpoint of the director. This
 definitely enabled myself enjoyment of the material. Most Potter fans would like the stories that bridge so many gaps and  expands possibilities.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_21?ie=UTF8&filterByStar=positive&pageNumber=21&reviewerType=all_reviews","null"
"1584086144-1697","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Caroline Davis","Five Stars","Reviewed in the United States on December 29, 2016","Great read. This was quick but took a chapter to get used to the screenplay style of the book.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_170?ie=UTF8&filterByStar=positive&pageNumber=170&reviewerType=all_reviews","null"
"1584085770-124","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","V. Cummings","good read","Reviewed in the United States on September 27, 2018","The book arrived in good condition. It is an interesting read. It is formatted in a way like you are reading from a script. This would make a fun read in a classroom having multiple parts for well characters.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&filterByStar=positive&pageNumber=13&reviewerType=all_reviews","One person found this helpful"
"1584085739-4","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Kolien Owens","It's Great in it's Own Way.","Reviewed in the United States on November 23, 2017","I bought this book when it first came out, but then never read it because of the mixed (bad) reviews. Maybe it was because I came in with such low expectations or maybe it was just because it's a great story, but I loved it. Yes, it's different from the original books. It's more character and dialogue driven, it is a script afterall, and because it's a script we miss out on some of the details that help really bring a story to life.  Also, it's a little more mature, Harry and the gang are forty now and some of the jokes kids won't relate to. But I don't think this story is really for children. Many of us grew up with Harry Potter, but now we're adults. This book deals heavily in relationships, mainly between fathers and sons and I think it did a great job. I know that many people were mad with how Harry acts towards Albus, but if there is one thing this book teaches us is learning that those you love aren't perfect. Though this book differs from the first seven it still has the components that made those seven great; adventure, heart and friendship. Also guys, it has time travel. Let me repeat, time- butterfly effect- travel. Which helps to tie it back into the world of the first seven books. The while time I was readibg it I thought; I can't wait to see how they do this on stage.","4.0 out of 5 stars","","","3 people found this helpful"
"1584086332-2537","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Talysha09","but still a fun adventure.","Reviewed in the United States on October 2, 2016","The story was a little strange, but still a fun adventure.","4.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_254?ie=UTF8&filterByStar=positive&pageNumber=254&reviewerType=all_reviews","null"
"1584086784-4599","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","Five Stars","Reviewed in the United States on August 11, 2016","My son enjoyed it!!!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_460?ie=UTF8&filterByStar=positive&pageNumber=460&reviewerType=all_reviews","null"
"1584085918-694","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Aditya Gadepalli","Love it!","Reviewed in the United States on August 14, 2019","Have been a Potter series from the beginning. Though the central character isn't any Potter the story is gripping.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_70?ie=UTF8&filterByStar=positive&pageNumber=70&reviewerType=all_reviews","null"
"1584085918-692","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Dipali","Amazing!","Reviewed in the United States on September 21, 2016","J.K. Rowling does not disappoint! The book doesn't revolve only around Harry Potter and it's important to remember that when reading it! I had fun reading it and would recommend it to all Potterheads out there!","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_70?ie=UTF8&filterByStar=positive&pageNumber=70&reviewerType=all_reviews","null"
"1584086687-4154","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Ann","Five Stars","Reviewed in the United States on November 1, 2016","Lived up to serirs","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_416?ie=UTF8&filterByStar=positive&pageNumber=416&reviewerType=all_reviews","null"
"1584086123-1597","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Pamela Riccardo","Five Stars","Reviewed in the United States on February 15, 2018","cute","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_160?ie=UTF8&filterByStar=positive&pageNumber=160&reviewerType=all_reviews","null"
"1584086474-3192","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","brenda","Harry Potter  Books","Reviewed in the United States on October 17, 2016","Goes with my other Harry Potter books.I like the author.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_320?ie=UTF8&filterByStar=positive&pageNumber=320&reviewerType=all_reviews","null"
"1584086320-2490","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Emily","Five Stars","Reviewed in the United States on December 7, 2016","JK Rowling can do no wrong.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_249?ie=UTF8&filterByStar=positive&pageNumber=249&reviewerType=all_reviews","null"
"1584086830-4805","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","The Potter world is still great","Reviewed in the United States on August 24, 2016","I think it's a very good read. I also think that all the negative comments are misplaced. What people are mistaken about is that this is a playwright. I know some are complaining it's not j.k. Rowling work, but you're not going to get all the detail and in depth info you would in a book. Its made for the stage. I thought it had a decent baseline and I was captivated for sure. It was a good storyline. What I disliked was it was too short.....I wanted more. Please read and don't be discouraged by some of the negative posts by some who want brilliance out of a playwright.","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_481?ie=UTF8&filterByStar=positive&pageNumber=481&reviewerType=all_reviews","null"
"1584086345-2593","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","Harry Potter and the cursed child was great","Reviewed in the United States on October 2, 2017","Great great great great great great great great great great great great great great guys I totally recommend this read","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_260?ie=UTF8&filterByStar=positive&pageNumber=260&reviewerType=all_reviews","One person found this helpful"
"1584086116-1566","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","John W. Garcia","Loved it  one of my new favorite books, but they forgot somethibg","Reviewed in the United States on August 20, 2016","I thought that it was perplexing and I finished it all in one day! I choose this rating because the book showed effort. What I disliked was that i didnt get to much info on the occupations of the weasleys, and most importantly LUNA LOVEGOOD!!! But otherwise i l-o-v-e-d it!😊😊","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_157?ie=UTF8&filterByStar=positive&pageNumber=157&reviewerType=all_reviews","null"
"1584086484-3250","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","Amazon Customer","Five Stars","Reviewed in the United States on July 11, 2017","sister loved it !","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_325?ie=UTF8&filterByStar=positive&pageNumber=325&reviewerType=all_reviews","null"
"1584086210-1990","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewpnt_lft?ie=UTF8&reviewerType=all_reviews&filterByStar=positive&pageNumber=1","OnyxTortuga","Worth sticking out the occasional confusion","Reviewed in the United States on October 29, 2018","Jumped around a bit but it was still great to hear about the old gang","5.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_199?ie=UTF8&filterByStar=positive&pageNumber=199&reviewerType=all_reviews","null"
