web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,helpful
"1584087529-6017","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Hans Hofner","I personally say don't waste your money and read this","Reviewed in the United States on September 2, 2016","Remember, it's not a book. I wish it was a book. I personally say don't waste your money and read this. Save it and go watch the play or something else.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_102?ie=UTF8&filterByStar=three_star&pageNumber=102&reviewerType=all_reviews","null"
"1584087636-6490","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","BellaGrace","I liked Albus and Scorpio","Reviewed in the United States on April 22, 2017","Basically my thoughts on this book can be summed up with ""meh"". I liked Albus and Scorpio, thought the bad buy was obvious and the time travel was complete deus ex machina. I have no idea how it won the Goodreads award for ""best fantasy of the year"" - too many fan boys and girls I guess who can't separate out their love for the series and this book.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_149?ie=UTF8&filterByStar=three_star&pageNumber=149&reviewerType=all_reviews","null"
"1584087508-5921","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Kindle Customer","Three Stars","Reviewed in the United States on November 3, 2016","Didn't know it was a play!  :)","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_92?ie=UTF8&filterByStar=three_star&pageNumber=92&reviewerType=all_reviews","null"
"1584087402-5438","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Barbara A. Lee","Fan fiction","Reviewed in the United States on September 2, 2016","Reads like fan fiction; some good ideas about characters' relationships, but not well developed.  It may work much better on the stage--but it's definitely not on the same level as J. K. Rowling's seven books.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_44?ie=UTF8&filterByStar=three_star&pageNumber=44&reviewerType=all_reviews","null"
"1584087585-6257","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","C. Thierry","Harry Potter and the Cursed Child Play Script","Reviewed in the United States on August 26, 2016","Keep in mind you are reading a play script and not a story-story is good.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_126?ie=UTF8&filterByStar=three_star&pageNumber=126&reviewerType=all_reviews","null"
"1584087425-5532","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Balot","Gift","Reviewed in the United States on June 21, 2018","Neutral, this was a gift.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_54?ie=UTF8&filterByStar=three_star&pageNumber=54&reviewerType=all_reviews","null"
"1584087384-5355","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","MelanieNester","My daughter still read it even though she was a bit disappointed.","Reviewed in the United States on May 24, 2017","I didn't realize this was the play version. My daughter still read it even though she was a bit disappointed.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_36?ie=UTF8&filterByStar=three_star&pageNumber=36&reviewerType=all_reviews","One person found this helpful"
"1584087316-5071","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","JFlorie","Not as good as I had hoped","Reviewed in the United States on October 3, 2016","I am a self professed Harry Potter nerd so of course I had to order this book to read.
If you are unfamiliar with a play script you may have been disappointed in the flow. The brilliance of a script is that it allows the director to set the scene and stage when it is put on. I wasn't expecting the in depth detail and description of other Harry Potter books. However, the flow of the book (play) made it overtly obvious that JK Rowling did not write this. She had input but it lacked her special touch.
The story was good. It wasn't the best but it was decent enough for me. I did miss the descriptive writing and wish JK would redo this as a full novel and delve deeper into some of the characters and their relationships. This was a little predictable in the outcome. It was still enjoyable. It just lacked much of the Harry Potter magic we have come to know and love.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_7?ie=UTF8&filterByStar=three_star&pageNumber=7&reviewerType=all_reviews","null"
"1584087606-6358","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Casey","Glorified fanfiction","Reviewed in the United States on July 31, 2016","I have been a huge Harry Potter fan since I was a kid and I was super excited to finally get my hands on new content from the Harry Potter universe. To me, this was a huge disappointment. I'm familiar with scripts and I know they don't read the same way, but this felt like they didn't even try to make it believable. It was lazily written, character development from the other seven books was ignored, and I didn't find the plot believable at all. This books saving grace was the relationship between Scorpius and Albus, it was clear that that was well thought out and it actually felt like it could happen.

This script is basically glorified fanfiction and I wish I could obliviate the memory of reading it, not because I didn't like it but because it causes me to lose respect for the world as a whole. They reveal some things that have no place in the Harry Potter universe (SPOILER his daughter and her mother SPOILER) and because of that I have decided that I'm going to accept this new content as fanfiction instead of an addition to the universe.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_136?ie=UTF8&filterByStar=three_star&pageNumber=136&reviewerType=all_reviews","8 people found this helpful"
"1584087611-6374","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Caitastrophe","I didn’t like THE CURSED CHILD","Reviewed in the United States on August 26, 2016","In any case, here’s my unpopular opinion for the month: I didn’t like THE CURSED CHILD.

I was tentatively excited when I heard about the play and then more so when I heard they were releasing the script. Now before you say that I didn’t like it because of the script format, let me just say that I’ve done stage acting in the past and still read Shakespeare for fun. Scripts do not kill my enjoyment of a story, at least not if that script is written well.

This one I would say was written ably, but not precisely enjoyably. It’s one of those “the grammar was excellent, but the story… eh?” moments for me.

I wanted to like this book, y’all; I really did. It just fell flat for me.

I think my big issue was the lack of wonder or hope that the original Harry Potter series held for me. Even during some of the darkest moments of the series, there was still as sense of fun and wonder from Harry discovering the wizarding world and comparing it with the hell that was his life with the Dursleys. This book didn’t feel like it had any of that wonder. Instead we had a rush through 3-4 years of Harry’s son being utterly miserable at Hogwarts followed by a plot driven by one of my least favorite plot tropes. I’m not mentioning what trope here just on the chance some of you are yet to read it – I hate spoilers as much as the next reader LOL. But rest assured, it’s a pretty common plot device, and it just felt tired here as opposed to a unique take on it.

Some have said it read like bad fanfiction, only without the happy ending for any onscreen explicit slash couples, and I have to admit, that’s not an inaccurate description of it.

I do know several people who enjoyed it, but I just was underwhelmed overall. I’ve still got tentative hopes for the FANTASTIC BEASTS AND WHERE TO FIND THEM film, but this play probably won’t be one I’ll spend my money on in the event that it makes it to US theaters.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_138?ie=UTF8&filterByStar=three_star&pageNumber=138&reviewerType=all_reviews","One person found this helpful"
"1584087523-5987","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Nichole","Three Stars","Reviewed in the United States on October 2, 2016","it was ok it needed a little more in the story line but it was still worth buying","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_99?ie=UTF8&filterByStar=three_star&pageNumber=99&reviewerType=all_reviews","null"
"1584087627-6449","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","MD Resident","Meh. Mediocre. Okay.","Reviewed in the United States on August 7, 2016","It was meh. Not necessarily outstanding, but not horrendously unbearable either. Mediocre.
If you look at it as ""the much-awaited final installment to the critically acclaimed Harry Potter series,"" you're sure to be disappointed, because this book definitely did not live up to the hype. It was filled with gaping plot holes, much of it read like fan fiction, and the characters were just caricatures of themselves. Harry has been reduced from the shining, confident young man in the Deathly Hallows to a sniveling, self-pitying, insensitive middle-aged bozo we see in Cursed Child. It’s more torture than the Cruciatus Curse to read about him. Hermione is no better. Now the Minister for Magic (I loved that), she has lost all of her creativity and ingenuity that made her my absolute favorite character in the Harry Potter series. Ron was seriously excruciating. It seemed like he was only in the book for comic relief. While the HP series was interspersed with bits of humor from Ron, Jack Thorne seemed to think that is his only role in the story. It nearly broke my heart. And Albus- why, why, are you SUCH an unlikable character, Albus? I mean, I tried. I honestly tried to like him. But he was so self-pitying, so “Oh-my-god-feel-bad-for-me-I’m-Harry-Potter’s-son” that I wanted to slam him into the nearest brick wall. I mean, he couldn’t even see past his argument with Harry to be a decent friend to Scorpius!! Why, Albus, why?? And Rose
However, there were many things in the book worth the almost-20-dollars that it cost. Scorpius Malfoy was such an amazing character; he and Draco Malfoy were the stars of the story, in my opinion. Albus being sorted into Slytherin was an ingenious touch, though most of us saw it coming. And Draco was SO COOL!! He was hands-down the best character in the book. I’ve always liked Draco, but I really wanted him to become friends with the trio, and it happened!! I was beyond ecstatic. Though most people thought the Time-Turner concept was hackneyed and cringe-worthy, I found it to be somewhat intriguing. The fact that a simple Engorgement Charm could cause Voldemort’s reign to endure was fascinating to me. And that an Expelliarmus Charm could cause Ron and Hermione never to get married? Wonderful. But I groaned aloud when Draco MAGICALLY had another Time-Turner…. Like, seriously? That was such a plot-mover. And Delphi. Seriously, you couldn’t come up with anything better than Voldemort having a daughter?? Really?? The rumor part of it (where everyone thought that Draco was Voldy’s son)- that was cool, and I kind of wished he was so that the plot would be so much more interesting. But no. Delphi, this not-even-remotely-likeable girl, had to be the one who wanted to resurrect the Dark Lord again. I had so many questions at this part that it wasn’t even funny. But Act 4 made it all worth it. I teared up at the ending, and the story made sense logically, after they tied up some loose ends.
So all in all, it was okay. Meh. Definitely not what I expected, but a refreshing twist on the series all the same.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_145?ie=UTF8&filterByStar=three_star&pageNumber=145&reviewerType=all_reviews","null"
"1584087445-5626","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Eddie Colwell","The new format was not as good as the previous books","Reviewed in the United States on December 18, 2016","Gift for my wife.  The new format was not as good as the previous books.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_63?ie=UTF8&filterByStar=three_star&pageNumber=63&reviewerType=all_reviews","null"
"1584087582-6242","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Addison Runge","Good read","Reviewed in the United States on August 6, 2017","I enjoyed reading this script book of the....(haha) 8th Harry Potter book. JK Rowling can really write well... even scripts!","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_125?ie=UTF8&filterByStar=three_star&pageNumber=125&reviewerType=all_reviews","null"
"1584087504-5895","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Mary L. Andrus","Cursed child","Reviewed in the United States on September 25, 2016","A little disappointing.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_90?ie=UTF8&filterByStar=three_star&pageNumber=90&reviewerType=all_reviews","null"
"1584087437-5584","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Amazon Customer","Not very good","Reviewed in the United States on January 9, 2017","I didn't like the style of writing... it didn't sound like the other books at all.  Like other people have said, it reads like a fan wrote it.  I'm a huge Harry Potter fan and wanted to love it but found myself wanting to rush just to get through it.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_59?ie=UTF8&filterByStar=three_star&pageNumber=59&reviewerType=all_reviews","One person found this helpful"
"1584087336-5157","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Terri","Just ok","Reviewed in the United States on September 8, 2016","I enjoyed the story overall. Although I realize it's a screenplay, I did not feel the connection with the characters, especially Albus, Scorpius and Delphi. The climax at the end was underwhelming but since I am such a Harry Potter fan my expectations were very high and it read so quickly it was difficult to connect. I would still recommend this book as I did enjoy the creativeness of taking peeks back in time to meet some of the older characters and adding flavor to the original stories by bringing texture to the original characters.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=three_star&pageNumber=16&reviewerType=all_reviews","null"
"1584087443-5616","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","chris grubb","Three Stars","Reviewed in the United States on October 6, 2017","odd reading a play script","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_62?ie=UTF8&filterByStar=three_star&pageNumber=62&reviewerType=all_reviews","null"
"1584087461-5699","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Amazon Customer","Not as good as a book","Reviewed in the United States on October 7, 2016","Missing too much description because it's a screen play.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_70?ie=UTF8&filterByStar=three_star&pageNumber=70&reviewerType=all_reviews","null"
"1584087521-5980","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Kindle Customer","Disappointing","Reviewed in the United States on July 31, 2016","If you expect any insight into the lives of the characters from the books,  you will be sadly disappointed.  It reads as you would expect a screenplay to read,  which is fine. If you read a lot this won't be a problem.  The problem is the whole concept and the changes that were made. As other readers have stated, this does not seem to have been written by JK Rowling. I don't think the people who wrote this even read the books. Some of the writing is silly, like you might find in fan fiction. If you can get past all of this, it is an ok read, just don't expect to want to rush out and get tickets to the play, it had the opposite effect on me.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_98?ie=UTF8&filterByStar=three_star&pageNumber=98&reviewerType=all_reviews","8 people found this helpful"
"1584087498-5866","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","TeacherCat","Not up to Rowling's standards","Reviewed in the United States on September 21, 2016","I missed actually reading a novel.  The storyline was just OK.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_87?ie=UTF8&filterByStar=three_star&pageNumber=87&reviewerType=all_reviews","null"
"1584087336-5154","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Trin","A fun, but flawed trip back into the Potter-verse","Reviewed in the United States on August 12, 2016","The most difficult thing about reading this is that the intended method of consumption is as an audience member in a theater. Performed well, I might give the production another star, but as a book it suffers significantly. As a screenplay it can come alive when dialog is active, but it is difficult to read any rapidly changing scenes as happens during the setup of the story. It also takes a bit of getting used to when emotion is conveyed via stage direction instead of prose.

Ultimately, the thing that bothered me most is the choice to change how an aspect of magic works, the element that the story is built entirely around. While a fun adventure was birthed from it, we end up with a story that doesn't feel as cleanly crafted or thought out as the previous books or movies.

If you can put aside these two detractors, the story offers a fun trip through nostalgia, a new entry in the joys of friendship, and some touching moments of the relationship between parents and their teenage children.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_16?ie=UTF8&filterByStar=three_star&pageNumber=16&reviewerType=all_reviews","null"
"1584087489-5831","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","ccl131","I read this the entire series the day each one ...","Reviewed in the United States on October 2, 2016","I read this the entire series the day each one came out. I'm having a hard time with this one!  Not grabbing me the same way!","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_83?ie=UTF8&filterByStar=three_star&pageNumber=83&reviewerType=all_reviews","null"
"1584087398-5412","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Beccafazzio","This reads VERY much like fanfiction. Was it fun","Reviewed in the United States on August 24, 2016","I went into this not knowing what to expect. I am a Harry Potter fan. I am a Harry Potter fanfiction fan. I think this appealed to both aspects of my fandom. This reads VERY much like fanfiction. Was it fun? Yes. Was it enjoyable? Yes. Did it leave me rolling my eyes? Yes. Did it sort of destroy all seven books by JK Rowling with its ridiculous plot?...Kind of. If you love the Harry Potter series you might as well read it. Read it and judge.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_42?ie=UTF8&filterByStar=three_star&pageNumber=42&reviewerType=all_reviews","null"
"1584087478-5778","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&filterByStar=three_star&pageNumber=1","Stanley Zapata","Good, but not quite what I though","Reviewed in the United States on August 2, 2016","Reading this book I expected something closer to the previous books, that  it was not. It was good, although not what I expected. It was a nice chance to revisit the Wizarding World and see what everyone was doing. This is not for everybody I would say read it if you really want more Harry Potter.","3.0 out of 5 stars","Next page→","https://www.amazon.com/Harry-Potter-Cursed-Child-Parts/product-reviews/133821666X/ref=cm_cr_arp_d_paging_btm_78?ie=UTF8&filterByStar=three_star&pageNumber=78&reviewerType=all_reviews","null"
